"CODOM"|"UASG"|"NOMEOM"|"SIGLAOM"|"INDICATIVOOM"|"UF"|"AREAOM"|"COD_OM_COMIMSUP"|"SITUACAO"
"1228"|"781313"|DELEGACIA FLUVIAL DE PIRAPORA|DELPIRAPORA|DLPIRA|MG|PRIMEIRO DN|1215.0|1
"1226"|"780020"|COMANDO NAVAL DE OPERAÇÕES ESPECIAIS |CONAVOPESP|NAVESP|RJ|PRIMEIRO DN|630.0|1
"1227"|"789011"|GRUPO DE ACOMPANHAMENTO E CONTROLE NA HELIBRAS|GAC-HB|GACHLB|MG|OITAVO DN|501.0|1
"1229"|"781360"|CAPITANIA DOS PORTOS DE MACAÉ|CPM|CPMCAE|RJ|PRIMEIRO DN|570.0|1
"1232"|"784010"|"1º ESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL DO NORTE"|ESQDHU-41|HEPNOR|PA|QUARTO DN|720.0|1
"1238"|"783511"|"NAVIO HIDROGRÁFICO BALIZADOR ""COMANDANTE MANHÃES"""|NHIBCOMTEMANHAES|NBHAES|RN|TERCEIRO DN|688.0|1
"1239"|"782512"|"NAVIO HIDROGRÁFICO BALIZADOR ""TENENTE BOANERGES"""|NHIBTENBOANERGES|NBBOAN|BA|SEGUNDO DN|655.0|1
"1245"|"731060"|CENTRO DE INTENDÊNCIA DA MARINHA EM PARADA DE LUCAS|CEIMPL|CITMPL|RJ|PRIMEIRO DN|282.0|1
"1251"|"791010"|CENTRO DE INTENDÊNCIA DA MARINHA EM NITERÓI|CEIMNI|CITNIT|RJ|PRIMEIRO DN|593.0|1
"1255"|"782340"|CAPITANIA FLUVIAL DE JUAZEIRO|CFJ|CFJUAZ|BA|SEGUNDO DN|640.0|1
"1256"|"791515"|NAVIO DE SOCORRO SUBMARINO GUILLOBEL|NSS GUILLOBEL|NSSBEL|RJ|PRIMEIRO DN|34.0|1
"1261"|"788341"|AGÊNCIA FLUVIAL DE GUAJARÁ-MIRIM|AGGMIRIM|AGIRIM|AM|NONO DN|1233.0|1
"1262"|"788342"|AGÊNCIA FLUVIAL DE HUMAITÁ|AGHUMAITA|AGHMTA|AM|NONO DN|1233.0|1
"1263"|"788343"|AGÊNCIA FLUVIAL DE BOCA DO ACRE|AGBACRE|AGACRE|AM|NONO DN|1233.0|1
